product_id,product_name,category,supplier_id,cost,retail_price,stock_quantity,reorder_level,rating,review_count
P001,Premium Laptop,Electronics,S001,399.99,599.99,45,20,4.5,234
P002,Wireless Headphones,Electronics,S001,99.99,199.99,120,50,4.3,567
P003,USB-C Cable,Electronics,S002,10.99,29.99,500,200,4.1,892
P004,Phone Stand,Electronics,S002,5.99,19.99,300,100,3.9,445
P005,Cotton T-Shirt,Clothing,S003,12.99,49.99,200,80,4.2,623
P006,Denim Jeans,Clothing,S003,30.99,89.99,150,60,4.4,789
P007,Smart Watch,Electronics,S001,179.99,349.99,80,30,4.6,512
P008,Bedding Set,Home,S004,35.00,125.00,100,40,4.3,378
P009,Kitchen Knife Set,Home,S004,20.00,69.99,90,35,4.2,456
P010,Throw Pillow,Home,S005,25.00,89.50,120,50,3.9,234
P011,Coffee Maker,Home,S005,45.00,129.99,70,25,4.5,678
P012,Summer Dress,Clothing,S003,22.99,59.99,180,70,4.4,534
P013,Winter Coat,Clothing,S006,60.00,179.99,85,35,4.5,456
P014,Desk Lamp,Home,S007,25.00,79.99,140,50,4.1,389
P015,Yoga Pants,Clothing,S003,25.99,79.99,160,60,4.3,612
P016,Running Shoes,Clothing,S006,35.99,109.99,110,45,4.4,723
P017,Backpack,Clothing,S008,30.00,99.99,95,40,4.2,567
P018,Wall Art,Home,S007,15.00,55.00,200,80,4.0,298
P019,Floor Rug,Home,S005,40.00,149.99,60,25,4.3,445
P020,Bath Towel Set,Home,S004,20.00,45.00,250,100,4.2,589
P021,Smartphone Case,Electronics,S002,3.99,19.99,400,150,4.0,834
P022,Digital Photo Frame,Home,S005,60.00,99.99,75,30,4.4,378
P023,Bluetooth Speaker,Electronics,S001,60.00,149.99,110,45,4.5,645
P024,Tablet Stand,Electronics,S002,8.99,24.99,280,100,3.8,312
P025,Polo Shirt,Clothing,S003,15.99,39.99,220,85,4.1,498
P026,Sports Socks Pack,Clothing,S008,4.99,14.99,400,150,3.9,567
P027,Sunglasses,Clothing,S006,25.00,79.99,100,40,4.3,478
P028,Canvas Tote Bag,Clothing,S008,12.00,69.99,130,50,4.1,389
P029,Desk Organizer,Home,S007,12.00,39.99,170,60,4.0,334
P030,4K Webcam,Electronics,S001,200.00,449.99,50,20,4.6,423
